Write down four words to describe how you're feeling about this course. Separate your four words by commas.,Write down one word to describe how *you* think the majority of your classmates are feeling.,Write down one word to describe how *you* think the instructors are feeling.
"Nervous, excited, productive, useful ",Nervous ,Excited 
"Curious, excited, intrigued, dreaded",Curious,Excited
"Curious,worried,nervous,scared",nervous,excited
"Ambivalent, keen, not-keen, excited-to-finish-the-degree",nervous,excited
unconcerned,excited,excited
"Nervous, scared, eager, hopeful",Nervous,Happy
"nervous, confusing ",Nervous,Calm 
"nervous, scared, excited, sad",excited,happy
"Excited, Happy, Anxious, Hopeful",Anxious ,Estatic
Difficult，attractive，time spending，mysterious,Difficult,ambitious
Intrigue ,Okay,Tired
statistical，logical，MySQL，database,curious,calm
"Excited, Curious, Open, Optimistic",Excited,Nervous
"excited, confused, optimistic, happy",excited,bored
"Interested, nervous, eager, excited",Nervous,Excited
"Scared, Anxious, Failure, Nervous ",Anxious ,Excited 
"Apprehensive, curious, anxious, excited",Anxious,Excited
"Curious, apprehensive, resigned, apathetic ",Apprehensive ,Concerned 
"Curious, afraid, nervous, busy",Nervous ,Nervous 
"Nervous, interested, doubtful, pressed",intriguing,budding
"Excited, curious, motivated, ready",Apprehensive,enthusiastic
Nervous ,nervous,Excited 
"Strange,expect,interested,worry",Expect,Expect
Nervous ,Nervous,Excited 
"curious, worried, excited, expected ",worried,excited
"nervous, excited, hopeful, wary",excited,optimistic
"Excited, Confident, Curious, Mixed","Worried, curious, anxious, relieved ",Excited!
"stress, pass, happy, nervous",nervous,excited
"nervous, mysterious, important, curious",exciting,exciting
"Nervous, Intrigued, Intimidated, Optimistic",Curious,Ready
"nervous, worried, curious, excited ",excited ,excited
"communicate,explore,data,science",communication,Happy
"Expected, worried, interested, excited",Expected,Interested
"Uncertain, excited, anxious, keen",excited,tired
"teamwork,  interesting, work hard, practical ",cooperate,hope
"Excited, Nervous, Uncertain, Eager ",Stoked,Super
"Apprehensive, nervous, intrigued, excited",Intrigued ,Primed
"Complex, compact ，difficult ，projects",complexity,complexity
"Intrigued, Nervous, Uncertain, Eager",Nervous,Eager
"Nervous, Excited, Interested, Keen",Excited,Excited
Exciting*useful*amazing*busy,Exciting,Expected
interesting excited nervous cool,difficult,fun
"excited, energetic, curious, confused",excited,excited
"Anxious, Worried, Relived, Optimistic","Excited, Anxious, Unsure, Nervous",Excited
"hard, useful, practical,interesting",Practical ,Important 
"interested, excited, scared, annoyed",aprehensive,Normal
"Nervous, Anxious",Excited,Excited
"Nervous, doubt, interested, tiring",Ok,Excited 
"nervus, excited, confused, open",nervous,excited
"tense, excited, anticipating, persevering",cooperation,freedom
"Excited, curious, eager, psyched",Excited,Mechanical 
"nervous, confused, exciting, expected",exciting,happy
Feeling excited to work with other classmates in group ,Excited ,Excited 
"nervous, excited, uncertain, anxious",nervous,work
